Data_name,Data_name_kr,Acronym,Data_type,Data_category,Source_organization,Access_method,Portal_or_system_url,Spatial_coverage,Spatial_resolution,Temporal_coverage,Temporal_resolution,Data_volume_or_scale,Collection_method,Instruments_or_tools,Data_format,Parameters_measured,Usage_in_study,Data_availability,Notes,Source
Suji Water Treatment Plant Process Water Quality Data,수지정수장 공정별 처리수 수질 데이터,Not in source,field_measurement,water_quality,"K-water (수질안전처, 한강수도지원센터)",field_collection,Not in source,수지정수장 (고도처리 및 일반처리 공정),process-scale,04 – 2020. 11,monthly,"총 128개 시료 (원수, 침전수, 여과수, 정수)",manual sampling,"ICP-MS, pH Electrometer (Thermo Scientific), 탁도계 (HACH TL2300), TOC/TN Analyzer (SKALAR Formacs Series)",Not in source,"수온, 탁도, pH, 알루미늄 (용존, 입자), DOC",차염 설비 및 CO2 주입 여부에 따른 수질 변화 및 알루미늄 잔류 특성 사례 연구,internal_only,고도처리(전오존+F/A)와 일반처리(모래여과) 공정 비교 분석,39
4-Major Rivers Metals Survey Advisory Data (2018-2019),4대강 금속류 조사 데이터 (자문 자료),Not in source,literature,water_quality,상지대학교 (전문가 자문),literature_cited,Not in source,"국내 4대 수계 (한강 29, 낙동강 32, 금강 21, 영산강 33개소)",watershed-scale,03 – 2019. 12,event-based (6회 조사),총 115개 중권역 대표 지점 데이터,Not in source,ANOVA (분산분석) 통계 도구,DB,"전체 알루미늄, 용존성 알루미늄, 입자성 알루미늄 농도","한강 수계와 타 수계(금강, 낙동강, 영산강)의 알루미늄 농도 및 계절별 특성 통계적 비교 검증",restricted,객관적 비교를 위해 외부 전문가(상지대) 자문을 통해 확보한 데이터베이스,39
Korea Water Mineral Map (2017),국내 지표수 및 지하수 알루미늄 분포도 (2017),Not in source,geospatial,sediment,K-water (사내 물환경 기존 자료),internal_DB,Not in source,"전국 (지표수 95개소, 지하수 350개소)",national-scale,2014 – 2016,one-time (map generation),"지표수 n=95, 지하수 n=350",automatic sensor/manual sampling,Not in source,Map / GIS data,"알루미늄 농도, 기반암 종류 (화성암, 변성암, 석회암 등)",한강 수계의 지질학적 특성(기반암)과 타 수계의 지표수/지하수 알루미늄 농도 분포 비교,internal_only,기존 사내 관측망 데이터를 활용한 지질학적 배경 농도 분석,39
Korea Meteorological Administration Forecast Data,기상청 예보 데이터,KMA data,meteorological,rainfall,기상청,public_portal,기상청 홈페이지,national,Not in source,연구 기간(2022년) 및 과거 데이터,"단기예보(3일), 6시간 주기 업데이트",Not in source,model simulation,앙상블 강우 예보 등,Not in source,"예상 강우량, 강우 분포",예비방류 실시 여부 판단을 위한 핵심 입력 변수로 활용,open,예보의 정확도가 예비방류 효과에 큰 영향을 미침,57
National Water Resources Management Integrated Information System,국가수자원관리종합정보시스템,WAMIS,DB_system,hydrological,환경부/K-water,public_portal,http://www.wamis.go.kr,national,point measurement,Not in source,hourly/daily,전국 하천 및 댐 수문 데이터,automatic sensor,Not in source,Not in source,"댐 수위, 저수량, 유입량, 방류량",예비방류 개념 정의 및 댐별 제원 확인을 위한 기초 자료로 활용,open,국가 표준 수자원 정보 시스템,57
Riverside Buffer Zone Field Monitoring Data,수변완충지대 설정을 위한 수질 및 토양조사 데이터,Not in source,field_measurement,water_quality,K-water,field_collection,Internal project data,Nakdong River mainstream (4 sites) and tributaries (5 sites),Point measurement (upstream/downstream of floodplains),February–May 2022,"3 times (Water), 2 times (Soil)","9 target areas, multiple samples",Manual sampling and lab analysis,Not in source,Not in source,"pH, Temp, DO, EC, Turbidity, Chl-a, TSS, BOD, COD, TN, TP (Water); COD, LOI, Water content, Metals (Soil)",Primary data used to select optimal locations for customized riparian buffer models and analyze non-point pollution loads.,internal_only,Conducted to analyze the contribution of floodplains to river water quality.,60
Water Environment Information System,물환경정보시스템,WEIS,DB_system,water_quality,환경부 (국립환경과학원),public_portal,http://water.nier.go.kr,"보성강-1, 동복천-2, 황강 1-1, 황강 1-2 등 하천 수질측정망 지점",Point measurement (Monitoring stations),2011–2018,8-day intervals (approx. 30 times/year),Not in source,manual sampling,Not in source,Not in source,"BOD, T-N, T-P, Chl-a, DO, SS, NH3-N, NO3-N, PO4-P",유역유출모형(HSPF) 및 수지수질모형의 경계조건 입력 및 검보정 자료,open,환경부 수질측정망 실측 데이터를 제공하는 공공 시스템,41
Automated Surface Observing System (KMA),기상관측 데이터 (기상청),ASOS,meteorological,meteorological,기상청 (KMA),public_portal,Not in source,"주암(주암), 합천(거창, 진주, 창원 관측소)",Point measurement,2009–2018,hourly,Not in source,automatic sensor,Not in source,WDM,"강수량, 기온, 이슬점온도, 풍속, 일사량, 운량",HSPF 및 CE-QUAL-W2 모형의 기상 입력 자료(WDM) 구축,open,HSPF 모형 구동을 위해 시간 단위 데이터로 가공하여 사용,41
Environmental Geographic Information System (EGIS),환경지리정보서비스 (토지피복도),EGIS,geospatial,GIS,환경부,public_portal,https://egis.me.go.kr,주암댐 및 합천댐 유역,Medium-level classification (분류 토지피복도),Not in source,one-time,Not in source,remote_sensing,Not in source,GIS shapefile,"토지 이용 현황 (시가화, 농업, 산림, 습지 등)",HSPF 모형의 유역 파라미터 설정을 위한 토지이용 정보 추출,open,23개 분류 항목을 7개 항목으로 재분류하여 모형에 적용,41
National Water Resources Management Information System,국가수자원관리종합정보시스템,WAMIS,DB_system,hydrological,국토교통부/환경부,public_portal,www.wamis.go.kr,national,watershed-scale,2011-2014,Not in source,"하천차수도, 표준유역도",Not in source,Not in source,Digital map,"유역경계, 하천망",기초 유역 분석 및 하천 정보 추출에 활용,open,표준유역도 및 하천망도 획득,61
Water Environment Information System,물환경정보시스템,WEIS,DB_system,water_quality,국립환경과학원,public_portal,water.nier.go.kr,"죽장천, 대곡천, 사연댐 등",point measurement,2016–2020,monthly,Not in source,manual sampling,Not in source,Not in source,"수온, DO, SS, BOD, COD, T-N, T-P, Chl-a, 남조류 세포수",수질 모델의 보정 및 검증 자료로 활용,open,일반수질측정망 및 총량측정망 자료 활용,61
Field Monitoring Data,현장 모니터링 자료,Not in source,field_measurement,water_quality,한국환경정책·평가연구원(KEI),field_collection,Not in source,"영천(7지점), 대곡·사연(7지점) 하천 및 호소",point measurement,2020.07–2021.05,"event-based (강우 5회, 비강우 7회)",하천 및 호소 수질 분석,manual sampling/automatic sensor,Not in source,Paper/Digital form,"유량, 수온, BOD, T-N, T-P, TOC, SS 등",댐 유역 오염 원인 분석 및 수질 모델의 추가 검증 자료로 활용,internal_only,과업 수행 중 직접 측정된 데이터,61
AMI Data,AMI 데이터,AMI,DB_system,hydrological,K-water,internal_DB,Not in source,수도권 및 광역 도수관로,수용가 지점,Not in source,1~5분 주기,지능형 검침 인프라,automatic sensor,Smart Meter,Not in source,수요량 (Demand),실시간 수리해석 시스템 구축 시 물리 모델과의 동기화 및 수요 경계조건 반영,internal_only,스마트 물관리(SWM) 사업의 일환으로 수집되는 데이터,21
K-water Dam Operation Data,K-water 댐 운영 자료,Not in source,hydrological,streamflow,K-water,internal_DB,WAMIS (wamis.go.kr),"Chungju, Yongdam, Hapcheon, Seomjingang Dams",point measurement,1975–2018,daily,Not in source,automatic sensor,Dam monitoring systems,Not in source,"Inflow, Water level, Release (Spillway/Generation), Storage",댐 취약성 평가를 위한 IHACRES 및 SWAT 수문 모형의 검증 및 보정에 활용,internal_only,국가수자원관리종합정보시스템을 통해 일부 공개되나 연구용 세부 데이터는 내부망 참조,44
Endangered Fish Habitat and Distribution Literature Survey,멸종위기어류 복원대상지 출현 및 분포현황 문헌조사,Not in source,literature,ecology,"환경부, 국토해양부, 국립환경과학원, K-water 등",literature_cited,Not in source,"금강 수계 (미호강, 지천 포함)",Point measurement (GPS),1986–2021,event-based,Multiple reports and academic papers,literature_review,Not in source,PDF/Paper,"종 출현 여부, 개체수, GPS 좌표",복원대상지 선정 및 과거 서식 현황 비교 분석을 위한 기초 자료로 활용,open,4대강 수계 멸종위기어종 증식 및 복원 보고서 등 포함,45
Field Survey on Physical Habitat Environment,물리적 서식환경 현장조사,Not in source,field_measurement,hydrological,K-water (한국수자원공사),field_collection,Not in source,"금강 본류, 미호강, 지천 복원지",Reach-scale,2024년 4월 – 8월,event-based (2회),Not in source,manual_sampling,"줄자, 디지털 유속계",Paper form/Digital,"하폭, 유폭, 수심, 유속, 하상구조(실트, 모래, 자갈, 돌 등)",멸종위기어류 복원대상지의 물리적 적합성 평가,internal_only,Cummins(1962) 분류법 적용,45
Water Level and Gate Operation Data,수위 및 수문 운영 데이터,Not in source,hydrological,water level,K-water (한국수자원공사),internal_DB,K-water 내부 시스템 (제공),낙동강 하굿둑,Point measurement (하굿둑 지점),2023,Not in source,수문 운영 이력 데이터,Automatic sensor measurement,Not in source,Not in source,"해수유입 수문운영 현황 (개방 시간, 유입량 등)","수문 운영 조건과 수환경 변화(염분, 수질) 간의 상관관계 분석을 위한 기초 자료",internal_only,K-water 내부 제공 자료로 명시됨 (Step 2),63
2025 Basic Plan for Waterworks Maintenance (Regional and Industrial Water) Change Report,2025 수도정비기본계획(광역상수도 및 공업용수도) 변경보고서,Not in source,literature,hydrological,"Ministry of Land, Infrastructure and Transport (국토교통부)",literature_cited,Not in source,National (South Korea),Watershed level,2016 (Projected to 2025),long-term plan,Not in source,model simulation,Not in source,PDF/Paper report,"Water shortage projections, water supply capacity of dams, duplicate investment analysis, emergency connection rates",Used for analyzing future water supply stability and shortage in 2025.,open,Analysis conducted before the 2018 water management integration.,24
Maeki-gael Scirpus planiculmis Community Area Change Data,새섬매자기 군락 면적 변화 자료,Not in source,remote_sensing,vegetation,Not in source,other,Not in source,"을숙도 남단, 명지갯벌, Maenggeummeori 등",Not in source,2014 ~ 2024,annual,최근 10년간 시계열 자료,"satellite imagery, aerial photography, drone, GPS field survey","QGIS 3.20.3, GPS, Drone",GIS shapefile (inferred),"군락 분포 면적 (ha), 식생 지상부 길이, 괴경 밀도, 건중량",철새 먹이원인 새섬매자기 군락의 장기적 분포 변화 분석 및 복원 성과 평가,unclear,항공사진과 현장 GPS 조사를 병행하여 면적 산출,47
Public Institution Climate Change Response Status Data,공기업 및 공공기관 기후변화 대응 현황 자료,Not in source,administrative,management_strategy,K-water (한국수자원공사) 분석팀,other,Not in source,national,organization_scale,2021.09 기준,one-time,128개 기관,other,Not in source,Not in source,"경영전략 및 과제 유무, 사업 개수, 프로그램 개수, 담당 조직 유무",국내 공공기관들의 기후변화 대응 준비 수준을 비교 분석하기 위한 기초 통계로 활용됨,internal_only,부록 참고 자료로 취합된 전수 조사성 데이터,49
Bridge Railing Interference Experiment Data,교량 난간 영향 실험 결과 (갑천 용신교),Not in source,field_measurement,other,K-water,field_collection,Not in source,"Gapcheon River, Yongsin Bridge",Distance variation (0.35m to 0.75m),2011,one-time experiment,Not in source,field collection,SVR 100 and AMWSCM,Not in source,"Distance from railing, average velocity",Used to determine the optimal installation distance (40cm+) to avoid electromagnetic interference from metal structures.,internal_only,Referenced from K-water internal reports (2011/2012).,50
New Radar Performance Test Results,신규 유속센서 기기 특성 시험 결과 (하백소프트),Not in source,lab_analysis,hydrological,Electronics and Telecommunications Research Institute (ETRI) / Habaek Soft,other,Not in source,Laboratory / ETRI testing facility,Device specification testing,2024,Static spec results,Not in source,automatic sensor,24GHz Doppler Radar,Not in source,"Frequency (24.1025GHz), beam width (5.31V/2.99H), measurement range (>50m)",Provided the baseline technical parameters for calculating system-inherent uncertainty of the new sensors.,internal_only,Developed under a joint investment project with K-water and Habaek Soft.,50
Seongseo Public Wastewater Treatment Plant Effluent Water Quality Data,성서 공공폐수처리장 방류수 수질 데이터,Not in source,lab_analysis,water quality,Seongseo Public Wastewater Treatment Plant,field_collection,Not in source,"Seongseo Industrial Complex, Daegu",point measurement,2020 (during research period),event-based,Not in source,manual sampling and jar-test,"Jar-tester (Phipps and Bird, PB-900), Digital Titrator (HACH)",Not in source,"Total hardness, calcium hardness, pH, temperature, conductivity, turbidity, COD, DOC",Used for lime-soda softening experiments and evaluation of design/operation costs for evaporation/crystallization.,internal_only,"Analyzed characteristics of process water (effluent, RO concentrate, FMX concentrate).",51
IHP-WINS (Water Information Network System),유네스코 수자원 정보 네트워크 시스템,IHP-WINS,DB_system,hydrological,UNESCO-IHP,public_portal,https://en.unesco.org/ihp-wins,global,Not in source,2017–present,Not in source,Open-access data platform,Not in source,Open-access database,Not in source,Water related data and information,Basis for developing the knowledge-sharing platform for certified cities.,open,Global open-access platform launched in 2017.,29
Seosan Water Distribution System Technical Diagnosis Report (2017),서산시 상수도관망 기술진단 보고서 (2017),Not in source,literature,GIS,K-water (한국수자원공사),literature_cited,Not in source,서산시,Not in source,2017,one-time,"서산시 12개 배수지 계통, 관로 총길이 1,528.8 km",field_measurement,Not in source,PDF/Paper,"관경, 관로 길이, 절점 표고, 용수수요량",시범 대상 지역인 서산시의 상수관망 에너지 분석 및 마이크로 수력발전 적지 분석을 위한 기초 데이터로 활용,internal_only,1차년도 연구에서 사용된 기초 자료를 2차년도 수리해석 파일 구성에 재활용,9
Greenhouse Gas Emission Factors,온실가스 배출계수 및 탄소배출권 가격 데이터,KAU21,administrative,other,Korea Exchange (한국거래소) / 전력거래소,public_portal,Not in source,national,Not in source,2021,daily,Not in source,administrative records,Not in source,Digital,"전력 탄소 배출계수, 탄소 배출권 거래가격",마이크로 수력발전에 따른 온실가스 감축의 사회적 편익을 화폐가치로 환산하는 데 사용,open,탄소배출권 가격은 2021.11.08~11.12 5거래일 평균치 적용,9
Yodo-cheon River System Fundamental Plan (2012),요도천 하천정비기본계획 (2012),Not in source,literature,administrative,Chungcheongbuk-do,public_portal,Not in source,"Yodo-cheon watershed (Chungju, Eumseong)",Basin scale,2012,Not in source,75 weirs listed,literature_cited,Not in source,PDF/Paper,"Watershed area, river length, average altitude, weir specifications",현장 실증실험 대상지 선정을 위한 기초 유역 특성 및 시설물 현황 조사 자료로 활용,open,충청북도에서 발행한 하천 기본 계획서,31
Structure Stress Analysis Data,구조응력해석 데이터,Not in source,model_output,sediment,K-water,model_generated,MIDAS,"남강댐(Roller Gate), 강천보(Rising Sector Gate)",3D Mesh 모델,2021–2022,Not in source,Not in source,model simulation,MIDAS (software),Not in source,"정수압, 동수압, 파압, 빙압, 설계퇴사하중, 최대 응력, 고유진동수",남강댐과 강천보 수문 부재별 구조 안정성 및 내하성능 평가를 위한 해석 모델 구축,internal_only,수위 조건 및 지진 하중 조합을 고려한 시뮬레이션 결과임,53
Electric Power Data Open Portal System,전력데이터 개방 포털시스템 자료,Not in source,administrative,other,한국전력공사 (KEPCO),public_portal,bigdata.kepco.co.kr,national,municipal level,2017–2021,monthly,Not in source,automatic sensor,Not in source,Not in source,계약종별 전력사용량,지역성 영향 인자 분석 및 물이용량과의 상관성 검토,open,전력사용량과 정수공급량 추이 대조를 위해 활용,32
Employment Administration Statistics,고용행정통계,Not in source,administrative,other,한국고용정보원,public_portal,eis.work.go.kr,national,municipal level,2017–2021,monthly,Not in source,administrative records,Not in source,Not in source,"사업장수, 고용비율, 취업률 (고용보험자 비율)",지역성 및 사회성 영향 인자 분석,open,산업체 수 및 규모 파악을 위해 활용,32
Industrial Land Information System,산업입지정보시스템,Not in source,geospatial,GIS,한국산업단지공단,public_portal,www.industryland.or.kr,national,site specific,2017–2021,monthly,Not in source,administrative records,Not in source,Not in source,산업단지 면적,비주거 지역 물 수요 영향 인자 분석,open,산업단지 면적과 정수공급량 간의 추이 대조,32
Local Finance 365 Statistics,지방재정 365 자료,Not in source,administrative,other,행정안전부,public_portal,lofin.mois.go.kr,national,municipal level,2017–2021,yearly,Not in source,administrative records,Not in source,Not in source,"주민 1인당 자체수입액 (가계소득), 인건비",사회성 영향 인자 분석,open,소득 변수와 정수공급량 추이 비교에 활용,32
Welfare Statistics Data,복지통계 자료,Not in source,administrative,other,한국사회보장정보원,public_portal,복지통계 포털,national,municipal level,2013–2021,monthly,Not in source,administrative records,Not in source,Not in source,장애인 포함 가구수 (취약계층 비율),사회성 영향 인자 분석,open,취약계층 비율과 정수공급량 상관성 검토,32
Water Column Environmental Data,수층 환경 자료,Not in source,meteorological,water_quality,K-water,field_collection,Not in source,낙동강 하굿둑 내외측,수직 수심별 분포,"2023.03, 2023.06",총 2회 조사,Not in source,자동 센서 및 채수,"YSI, 니스킨 보틀",Not in source,"수온, 염분, 용존산소(DO), pH, EC, 영양염, BOD, TOC",수층 내 염분 성층 및 빈산소 환경 형성 확인,open,실시간 모니터링 및 거동 예측 모델링 자료 포함,33
Meteorological Data (KMA),기상청 기상 데이터,KMA data,meteorological,rainfall,기상청,public_portal,www.kma.go.kr,부산 및 경남 지역,Not in source,2023.01 ~ 2023.06,일간/월간,Not in source,automatic sensor,Not in source,Not in source,"강우량, 광량(Solar radiation)",강우에 따른 담수 방류 영향 분석 및 일차생산력 산정 기초자료,open,5월 초 집중 강우 자료가 연구 결과 해석에 중요하게 사용됨,33
Climate Change Knowledge Portal,기후변화 지식 포털,WB-Climate,DB_system,meteorological,World Bank (세계은행),public_portal,https://climateknowledgeportal.worldbank.org/,global,grid,Not in source,Not in source,Not in source,model simulation,Not in source,"CSV, HDF5, etc.","기온, 강수량, 기후 모델링 데이터",신규 프로젝트 추진 시 기후변화 임팩트를 고려하기 위한 도구로 언급됨,open,세계은행에서 제공하는 기후 리스크 평가용 포털,64
Water Quality and Flow Monitoring Data,유량 및 수질 모니터링 자료,Not in source,field_measurement,"streamflow, water quality",K-water (한국수자원공사),field_collection,Not in source,중초천 및 지류 소하천 14개 지점 (W-1 ~ W-14),point measurement,2018–2020,event-based (dry/wet season),14 sites,"manual sampling, field measurement",Not in source,Not in source,"유량, BOD, T-N, T-P 등","비강우시 및 강우시 수질/유량 특성 분석, 오염부하량 산정 및 모델 검보정",internal_only,연구를 위해 직접 수행한 모니터링 자료임,34
Continuous Cadastral Map,연속지적도,Not in source,geospatial,"GIS, land use",국가정보공간포털,public_portal,국가정보공간포털 (link),보은군 일원,cadastral level,Not in source,one-time,Not in source,Not in source,GIS Software,GIS shapefile,"지목별 면적 (전, 답, 임야, 대지 등)",유역 내 토지이용 현황 산정 및 모델 구축용 지형자료 생성,open,보은군 연속지적도를 활용하여 지목별 면적 산정,34
K-water Dam Operation Data,댐 운영자료,Not in source,hydrological,"water level, flow rate",K-water,internal_DB,Not in source,Daecheong Dam,Point (Dam structure),2017–2018,10-min / Daily,Not in source,automatic sensor,Not in source,Digital data,"Inflow, Discharge (Power generation, spillway), Reservoir water level",Boundary condition for AEM3D and HEC-HMS model simulations.,internal_only,Detailed discharge breakdown (power generation vs. spillway) is critical for water quality modeling.,35
K-water Water Information System,K-water 물정보시스템,WINS,DB_system,"meteorological, hydrological",K-water,internal_DB,Not in source,National,Point/Watershed scale,Not in source,Daily,Not in source,automatic sensor,"ASOS, AWS",Not in source,"강수량, 기온, 이슬점온도, 풍속, 일조시간",가뭄 모니터링 및 예측 모델(강우-유출 모형)의 입력 자료로 활용,internal_only,K-water 내부 가뭄정보분석 시스템(DROUGHT)과 연계됨,55
K-water Internal Management Data,한국수자원공사 내부자료,Not in source,DB_system,operation performance,K-water,internal_DB,K-water internal system,"Regional offices (Han River, Geum River, etc.)",Plant-scale,Not in source,Not in source,"42 plants (EMS/PMS), 13 plants (EMS Nakdong River)","automatic sensor (EMS, PMS)","EMS, PMS, AI algorithms",Not in source,"Chemical usage, power consumption, cost reduction, water quality algae status",Summarized as domestic digital transformation cases to show performance and cost savings.,internal_only,Used for Summary Table 2 and Table 2-14.,36
International Drinking Water Standards for Aluminium,해외 먹는물 알루미늄 수질 기준 동향 자료,"USEPA, WHO, EU",literature,other,"WHO, US-EPA, EU, Health Canada, California EPA 등",literature_cited,Not in source,"Global (US, EU, Australia, Japan, Canada, NZ)",Not in source,2005 – 2019,Not in source,주요 국가별 수질 가이드라인 수치,literature survey,Not in source,Document,"알루미늄 규제 기준 (mg/L), 설정 근거, 인체 영향 (TDI, NOAEL 등)",사내 글로벌 수질기준(0.05 mg/L)의 적정성 검토 및 개선안 마련을 위한 벤치마킹,open,건강 영향보다는 심미적/수처리 적정성 관점의 기준임을 확인,39
Nationwide Pollution Source Survey,전국오염원조사,Not in source,administrative,오염원 부하량,환경부,public_portal,Not in source,영천·대곡·사연댐 유역,소유역(소권역) 단위,2017,연간 통계,"생활계, 축산계, 산업계, 토지계, 양식계, 매립계 등 6개 오염원",행정조사 기초자료,Not in source,Not in source,"발생부하량, 배출부하량(BOD, T-N, T-P)",댐 유역 오염원 현황 분석 및 소유역별 배출부하량 산정 기초자료로 활용,open,2017년도 환경부 전국오염원조사 배출부하량 산정결과 활용,58
K-water Internal Water Quality Model,K-water 유역/저수지 수질모델,"HSPF, AEM3D",model_output,"hydrological, water_quality",한국수자원공사 (K-water),internal_DB,Not in source,영천댐 유역 및 저수지,Not in source,Not in source,Not in source,기구축 모델,모델 시뮬레이션,"HSPF, AEM3D",Model files,"수위, 유량, 수온, 영양염류 농도 등",영천댐의 경우 기존 기구축된 모델을 활용하여 보정 수행,internal_only,K-water에서 제공하는 모델 활용,58
Water Environment Management Basic Plan,제2차 물환경관리 기본계획,Not in source,literature,Policy and Standards,환경부,public_portal,Not in source,National (South Korea),"대권역(낙동강), 중권역 단위",2016-2025,Not in source,계획 문서,문헌 조사,Not in source,PDF/Paper,"목표수질(Ia, Ib 등), 수질개선 대책 우선순위",댐 유역별 목표수질 설정 및 수질개선 정책 방향성 검토,open,2025년까지의 수질목표 설정 근거,58
National River Management Geographic Information System,하천관리지리정보시스템,RIMGIS,DB_system,geospatial,"Ministry of Land, Infrastructure and Transport",internal_DB,RIMGIS (system name),National (South Korea),Not in source,Not in source,Not in source,Nationwide river basic plans and cross-sections,Database archival,Not in source,GIS shapefile,"River cross-sections, riverbed data, management boundaries",Referenced for river cross-sectional data and basic management information.,internal_only,Used for hydraulic analysis modeling inputs.,18
K-water Water Resources Management System,실시간 수자원 정보 시스템,RWIS,DB_system,hydrological,한국수자원공사,internal_DB,Not in source,"주암댐, 합천댐 등 전국 다목적댐",Point measurement (Dam sites),1989–2019,hourly/daily,Not in source,automatic sensor,Not in source,Not in source,"유입량, 방류량, 수위","댐 운영 수위 현황 분석, 유량 검보정 및 수리수질모형(CE-QUAL-W2)의 입력 자료로 활용",internal_only,한국수자원공사에서 관리하는 실시간 수문 데이터 시스템,41
Digital Elevation Model,수치고도모형,DEM,geospatial,GIS,국토지리정보원 (추정),public_portal,Not in source,주암댐 및 합천댐 유역,Not in source,Not in source,one-time,Not in source,remote_sensing,BASINS (Auto Delineates),Raster/Grid,지형 고도 정보,HSPF 모형의 소유역 분할 및 하천망도 생성,open,BASINS 소프트웨어를 이용한 유역 경계 확정에 사용,41
K-water Knowledge & Record Management,K-water 지식기록관리 시스템,KRM,DB_system,administrative,한국수자원공사,internal_DB,Not in source,전국 K-water 관리 사업장,Not in source,2007–2019,event-based,홍수/가뭄 관련 기록 건수,manual sampling,Not in source,Not in source,홍수 및 가뭄 발생 사례 기록,연도별 홍수 및 가뭄 발생 추이 분석,internal_only,K-water 내부의 재난 및 운영 기록 관리 시스템,41
Hydrothermal Energy Supply Statistics,수열에너지 보급 통계,Not in source,administrative,other,한국에너지공단 (추정),public_portal,Not in source,전국,National scale,최근 5개년,annual,에너지 생산량 (toe),survey,Not in source,Not in source,신재생에너지 원별 생산량 및 보급 용량,국내 수열에너지 보급 현황 및 정책 목표 설정 기초 자료,open,수열에너지 제도 개선 방안 도출을 위한 통계 자료,66
Ulsan Metropolitan City Statistical Yearbook,울산통계연보,Not in source,administrative,other,울산광역시,public_portal,Not in source,울산광역시,administrative district,2013–2023,yearly,60th edition,statistical collection,Not in source,Not in source,"인구, 행정구역 면적, 사업체 수, 종사자 수, 기상 현황","시범사업 대상 지역의 인구 통계, 산업 구조 및 기상 특성 분석에 기초 자료로 활용",open,제60회 울산통계연보(2023) 자료 인용,42
Disaster Yearbook,재해연보,Not in source,administrative,other,행정안전부,public_portal,Not in source,national (Ulsan specific),administrative district,2002–2022,yearly,20 years of records,statistical collection,Not in source,Not in source,"인명 피해, 이재민 수, 건물 및 농경지 피해액, 복구비",과거 태풍 및 집중호우로 인한 수해 피해 규모 분석 및 경제적 편익 산출 근거로 활용,open,2016년 태풍 차바를 포함한 주요 재해 기록 포함,42
Artificial Propagation and Marking Data,멸종위기어류 인공증식 및 표지 데이터,Not in source,lab_analysis,ecology,"K-water (한국수자원공사), 선문대학교",field_collection,Not in source,"영월군 동강 (친어 확보), 인공증식 시설",Not in source,2023–2024,daily,"Approx. 5,000 fish individuals",model_generated,"VIE tag, OTC 침지, Radio tag",Not in source,"전장, 체중, 질병 유무, 유전 다양성 지수(He, Ho, Alleles)","방류 개체 식별 및 방류 적합성(건강성, 유전적 다양성) 검증",internal_only,선문대학교 수산질병관리원 질병검사 수행,45
K-water Risk Management (KRM) Data,전사적 리스크관리 자료,KRM,administrative,other,K-water (한국수자원공사),internal_DB,K-water Internal System,전국 광역상수도,Not in source,Not in source,event-based,Pipe burst reports and statistics,Not in source,Not in source,Digital data,"수도사고 발생 및 종료 보고서, 사고 유형, 피해 현황",광역상수도 SWM 도입에 따른 사고 감시 효과 분석 지표 개발,internal_only,내부 전용 리스크 관리 시스템,62
K-water Greenhouse Gas Inventory,K-water 온실가스 배출량 명세서,Not in source,DB_system,greenhouse_gas_emissions,K-water (한국수자원공사),internal_DB,Not in source,K-water 전 사업장,facility_scale,2018-2021,annual,Not in source,automatic_sensor,Not in source,Not in source,"온실가스 배출량 (Scope 1, Scope 2), 감축량, 에너지 사용량",K-water의 탄소중립 이행 현황 점검 및 CDP 대응 수준 측정을 위해 사용됨,internal_only,공사의 직접배출 및 간접배출 데이터를 정량화한 핵심 내부 자료임,49
Jeonbuk Health and Environment Monitoring Data,전북보건환경연구원 모니터링 자료,Not in source,field_measurement,water_quality,Jeonbuk Institute of Health and Environment,other,Not in source,Okjeong Reservoir,point_measurement,2021-2023,monthly,Not in source,manual_sampling,Not in source,Not in source,"BOD, T-P, TOC, Chl-a",Used for additional calibration and validation of the watershed model.,restricted,Used as auxiliary data to enhance model reliability.,28
K-water disaster status data,K-water 재해현황 데이터,Not in source,administrative,safety accident,K-water (Korea Water Resources Corporation),internal_DB,Not in source,K-water construction sites nationwide,site name,2010–2019,event-based,Not in source,internal records,Not in source,Not in source,"Accident date, project name, accident details, accident type (fall, strike, burial, suffocation), number of casualties",Used to select high-risk construction types and create VR safety training content scenarios.,internal_only,"Includes data on disaster rates and mortality rates per 10,000 workers notified by the Ministry of Employment and Labor.",67
VR Safety Training Survey Data,VR 안전체험 교육 설문조사 데이터,Not in source,survey,safety education,K-water (Safety Innovation Office),other,Not in source,"4 major K-water construction sites (MTV, Chungju, EDC, Songsan)",Not in source,2019.06–2019.09,one-time,"149 respondents (pilot), 250 respondents (main study)",questionnaire,Not in source,Not in source,"Education satisfaction, improvement in safety knowledge, demand for new content",Used to verify the effectiveness of VR training and justify the development of K-water-specific VR content.,internal_only,Indicated high satisfaction (over 80%) but a need for content tailored to specific K-water projects.,67
Crystallization Sludge Properties Analysis Data,결정화 슬러지 특성 분석 데이터,Not in source,lab_analysis,other,KTR (certified agency),lab_analysis,Not in source,Not in source,point measurement,2020,event-based,Not in source,lab experimentation (380°C heating),"XRF, EDS, XRD, Hot plate (DAIHAN, MSH-30D)",Not in source,"Component ratio (XRF), constituent materials (EDS, XRD), waste leaching test results",Evaluated the potential for recycling crystallization sludge as a cement alternative material.,unclear,Certified analysis by KTR included evaluation of supply water quality for reuse.,51
